Track URI,Track Name,Anime Name,Release Date,Album Name,Artist Name(s),Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4WS4FgOG1fOZl1VuD5aeQX,回レ!雪月花,機巧少女は傷つかない,2013-01-01,ひげこれ! HIGEDRIVER BEST in KADOKAWA ANISON,歌組雪月花,235632,37,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:37:08Z,anime,KADOKAWA,0.503,0.959,0,-3.325,0,0.0684,0.00327,0.000257,0.33,0.884,160.002,4
spotify:track:0F8psXXh2oxE5BGdkKaoIs,紅蓮の弓矢,進撃の巨人,2013-01-01,自由への進撃,Linked Horizon,316933,51,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T19:15:19Z,"anime,j-pop",ポニーキャニオン,0.322,0.99,1,-3.859,0,0.267,0.067,0.00000282,0.628,0.073,180.642,4
spotify:track:18asIXvfX6RyEtdiGKpTF5,THIS GAME,ノーゲーム・ノーライフ,2014-01-01,18 -Colorful Gift-,Konomi Suzuki,284160,55,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:37:34Z,"anime,j-pop,j-rock",KADOKAWA,0.472,0.887,11,-4.359,0,0.0689,0.0314,0,0.0618,0.317,146.965,4
spotify:track:4lFGExZoEArB7jzulnWtfl,Daydream café,ご注文はうさぎですか？,2014-01-01,Daydream café,Petit Rabbit's,228853,0,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:38:29Z,anime,NBCUniversal Entertainment,0.602,0.964,3,-5.948,1,0.0688,0.114,0,0.163,0.829,150.044,4
spotify:track:6uR92injo4PDzSrOPRFfHt,シュガーソングとビターステップ,血界戦線,2015-01-01,UNISON SQUARE GARDEN The 1st Collection for streaming,UNISON SQUARE GARDEN,253226,56,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T19:16:33Z,"anime,j-rock,j-pop",TOY'S FACTORY,0.626,0.89,6,-3.285,1,0.0536,0.00369,0,0.0839,0.849,131.997,4
spotify:track:0WjYHf18yTqGEQjLRHLNWp,Redo,Re:ゼロから始める異世界生活,2016-01-01,lead,Konomi Suzuki,260066,54,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:40:50Z,"anime,j-pop,j-rock",メディアファクトリー,0.425,0.976,8,-2.837,1,0.181,0.00199,0,0.332,0.489,94.884,4
spotify:track:4AttA0ULabd5N5EBDw2jIO,前前前世,君の名は。,2016-01-01,前前前世,Amelia Khor,284444,33,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T19:16:44Z,,1504728 Records DK,0.55,0.935,2,-8.421,1,0.0614,0.00213,0.0011,0.199,0.721,95.012,4
spotify:track:6avH20eR9SGNwV1H0vzHed,ようこそジャパリパークへ,けものフレンズ,2017-01-01,ようこそジャパリパークへ　～こんぷりーとべすと～,どうぶつビスケッツ×PPP,205000,21,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:41:41Z,anime,Victor,0.604,0.977,5,-3.056,1,0.0661,0.295,0,0.0521,0.804,170.055,4
spotify:track:3pKGijaLa4b6Fq0zCniPuo,"One Last You (From ""Xenoblade Chronicles 2"") - Piano/Vocal Cover",ゼノブレイド2,2017-01-01,"In the Mist (Piano Covers from ""Xenoblade Chronicles 2"")",Dream Kittu,346000,19,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:52:16Z,,Dream Kittu,0.317,0.176,2,-11.354,1,0.0489,0.972,0.00074,0.109,0.227,184.263,3
spotify:track:1n7h7TRGicLtXDZJcm8IGO,コレカラ,りゅうおうのおしごと！,2018-01-01,TVアニメ「りゅうおうのおしごと!」オープニングテーマ 「コレカラ」,Machico,218173,4,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:42:42Z,anime,"Nippon Columbia Co., Ltd. / NIPPONOPHONE",0.528,0.933,9,-3.614,1,0.0588,0.0192,0.0000114,0.102,0.67,162.108,4
spotify:track:18dWBsEdWdGA1MRPN95H1X,FLARE,ありふれた職業で世界最強,2018-01-01,FLARE,Void_Chords;LIO,274426,42,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:44:42Z,anime,Lantis,0.413,0.915,7,-4.741,0,0.125,0.188,0,0.526,0.465,164.008,4
spotify:track:1hFsEbHxsfflhLEPCq5tzk,紅蓮華,鬼滅の刃,2019-01-01,紅蓮華,LiSA,238586,0,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:47:25Z,"anime,j-pop,j-rock",Sony Music Labels Inc.,0.544,0.979,4,-2.8,0,0.153,0.00336,0.000116,0.0775,0.31,135.001,4
spotify:track:06XQvnJb53SUYmlWIhUXUi,怪物,BEASTARS,2019-01-01,怪物,YOASOBI,206000,66,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T19:16:58Z,"j-pop,anime",YOASOBI,0.627,0.824,1,-3.419,1,0.118,0.0699,0.0000657,0.31,0.774,169.935,4
spotify:track:3r5h4WbAe3J4UtucnQwcD7,CHAIN,ヴィジュアルプリズン,2021-01-01,百希夜行,ASCA,242546,41,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:45:36Z,"anime,j-rock,j-pop",Sony Music Labels Inc.,0.519,0.932,2,-3.515,1,0.175,0.00709,0,0.073,0.638,96.012,4
spotify:track:6iIUjQjRX0Wy6Ri179w9SP,KEEP WEAVING YOUR SPIDER WAY,蜘蛛ですが、なにか？,2021-01-01,安月名莉子 1st Album「BLUE MOON」,安月名莉子,259233,34,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:46:52Z,anime,KADOKAWA,0.573,0.979,1,-2.255,1,0.0783,0.000524,0.0000361,0.189,0.274,103.975,4
spotify:track:1ocxu4f7ZOjOcwAbqQ8l1T,HIGHEST,陰の実力者になりたくて！,2022-01-01,OPENING THEME FROM TV SERIES ”THE EMINENCE IN SHADOW”,OxT,216552,48,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:41:10Z,"anime,j-rock",KADOKAWA,0.401,0.949,8,-4.968,1,0.312,0.012,0,0.185,0.528,180.113,4
spotify:track:7xm0KJMfeaJQmQdDxAipiY,チキチキバンバン,パリピ孔明,2022-01-01,チキチキバンバン,QUEENDOM,202500,48,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:47:51Z,anime,avex trax,0.623,0.987,4,-2.03,0,0.128,0.0469,0,0.317,0.502,128.047,4
spotify:track:7ovUcF5uHTBRzUpB6ZOmvt,アイドル,【推しの子】,2023-01-01,アイドル,YOASOBI,213233,72,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:48:08Z,"j-pop,anime",YOASOBI,0.574,0.935,1,-2.783,1,0.0926,0.112,0.00000107,0.367,0.836,166.008,4
